# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Mon Nov  7 20:27:29 CET 2016
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01900		Age = 	3.981e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF	stage
	6.60	19.6199378967	19.5149	4.7705	4.5114	3.9495	-7.156	-5.519	-4.397	-4.114	-3.980	-3.804	-3.408	-3.280	-3.171	0.4787	0.0000	0.2	1	-12.702	2.6305778027	          
	6.60	20.0000000000	19.8839	4.7982	4.5135	3.9382	-7.225	-5.579	-4.456	-4.172	-4.038	-3.862	-3.465	-3.337	-3.228	0.4787	0.0000	0.2	1	-12.694	2.6306605339	
	6.60	25.8010158539	25.1161	5.1082	4.5274	3.7853	-8.000	-6.291	-5.156	-4.869	-4.735	-4.558	-4.159	-4.030	-3.920	0.4787	0.0000	0.3	1	-12.593	2.6315841675	 TO       
	6.60	30.0000000000	28.5460	5.2932	4.5201	3.6266	-8.463	-6.790	-5.660	-5.375	-5.242	-5.065	-4.668	-4.539	-4.430	0.4787	0.0000	0.4	1	-12.537	2.6320033073	
	6.60	30.6300392151	29.0279	5.3147	4.5182	3.6049	-8.517	-6.854	-5.724	-5.440	-5.307	-5.131	-4.734	-4.605	-4.496	0.4787	0.0000	0.4	1	-12.530	2.6320548058	  28.5    
	6.60	36.4752960205	32.9317	5.4967	4.4664	3.2705	-8.972	-7.571	-6.466	-6.202	-6.079	-5.914	-5.534	-5.412	-5.309	0.4787	0.0000	0.7	1	-12.475	2.6324372292	  27.9    
	6.60	40.0000000000	34.6173	5.5927	4.3825	2.8607	-9.212	-8.176	-7.131	-6.903	-6.803	-6.661	-6.322	-6.218	-6.128	0.4787	0.0000	1.4	1	-12.453	2.6326069832	
	6.60	42.0425300598	35.5367	5.6402	4.3323	2.6236	-9.330	-8.458	-7.497	-7.284	-7.193	-7.062	-6.749	-6.654	-6.573	0.4787	0.0000	2.1	1	-12.442	2.6326904297	  33.9    
	6.60	44.0552139282	36.0817	5.6859	4.2237	2.1502	-9.445	-8.982	-8.167	-8.001	-7.941	-7.848	-7.601	-7.534	-7.473	0.4787	0.0000	4.8	1	-12.435	2.6327638626	  32.9    
	6.60	44.5717926025	34.2896	5.6770	4.0766	1.5487	-9.423	-9.384	-8.885	-8.787	-8.771	-8.735	-8.598	-8.571	-8.536	0.4787	0.0000	6.6	0	-12.458	2.6327815056	 Te-m     
	6.60	48.3553466797	30.6378	5.7531	4.2728	2.2082	-9.613	-9.009	-8.083	-7.905	-7.836	-7.729	-7.448	-7.369	-7.297	0.4787	0.0000	4.2	1	-12.506	2.6328978539	  25.5    
	6.60	50.3962402344	30.6083	5.7959	4.3421	2.4422	-9.720	-8.816	-7.837	-7.622	-7.529	-7.396	-7.078	-6.981	-6.899	0.4787	0.0000	2.8	1	-12.507	2.6329522133	  25.3    
	6.60	50.7067832947	30.5930	5.8121	4.3797	2.5762	-9.760	-8.733	-7.693	-7.466	-7.366	-7.225	-6.887	-6.784	-6.695	0.4787	0.0000	2.2	1	-12.507	2.6329600811	          
	6.60	50.7805290222	30.5603	5.8270	4.4234	2.7357	-9.797	-8.577	-7.503	-7.257	-7.145	-6.991	-6.631	-6.518	-6.421	0.4787	0.0000	1.7	1	-12.508	2.6329619884	          
	6.60	50.8108291626	30.5395	5.8414	4.4762	2.9322	-9.833	-8.397	-7.282	-7.014	-6.891	-6.725	-6.341	-6.218	-6.113	0.4787	0.0000	1.2	1	-12.508	2.6329627037	 Te-M     
	6.60	50.8279495239	30.5256	5.8475	4.4373	2.7704	-9.849	-8.563	-7.483	-7.230	-7.112	-6.953	-6.586	-6.470	-6.371	0.4787	0.0000	1.6	1	-12.508	2.6329631805	          
	6.60	50.8339958191	30.5207	5.8510	4.3937	2.5924	-9.858	-8.786	-7.724	-7.493	-7.391	-7.247	-6.901	-6.795	-6.703	0.4787	0.0000	2.1	1	-12.508	2.6329631805	          
	6.60	50.8390388489	30.5166	5.8550	4.3426	2.3841	-9.867	-8.962	-7.982	-7.766	-7.674	-7.541	-7.222	-7.125	-7.042	0.4787	0.0000	3.1	1	-12.508	2.6329634190	          
	6.60	50.8413085938	30.5148	5.8575	4.3118	2.2581	-9.874	-9.068	-8.143	-7.936	-7.849	-7.722	-7.422	-7.332	-7.255	0.4787	0.0000	3.8	1	-12.508	2.6329634190	          
	6.60	50.8438262939	30.5128	5.8605	4.2750	2.1078	-9.881	-9.271	-8.341	-8.162	-8.093	-7.986	-7.703	-7.623	-7.551	0.4787	0.0000	4.9	1	-12.508	2.6329634190	          
	6.60	50.8463478088	30.5009	5.8633	4.2443	1.9820	-9.888	-9.365	-8.505	-8.333	-8.269	-8.169	-7.907	-7.835	-7.770	0.4787	0.0000	6.1	1	-12.508	2.6329636574	          
	6.60	50.8488693237	30.4492	5.8659	4.2142	1.8583	-9.895	-9.460	-8.667	-8.504	-8.446	-8.356	-8.116	-8.052	-7.993	0.4787	0.0000	7.6	1	-12.509	2.6329636574	          
	6.60	50.8513908386	30.3975	5.8683	4.1816	1.7250	-9.901	-9.565	-8.841	-8.690	-8.641	-8.563	-8.346	-8.290	-8.237	0.4787	0.0000	9.6	1	-12.510	2.6329636574	          
